,0
39,"Could not fault this transfer service except the drivers seemed to be very very busy all the time and as a result they drive very fast. Our driver from the airport said he was already late for his next pick up after ours because our flight was late getting in. He tore off out of the car park and was probably breaking the speed limit a lot of the time. The same happened on the pick up from the hotel, I have never been in a vehicle that traveled at that speed and if I was a person of nervous disposition I would have felt very uncomfortable. Drivers should not have to be rushing at speed to get to their next pick up. Otherwise I would recommend this company."
40,"We have had an extremely positive experience with this company. The driver was waiting for us at the airport and also he arrived 15 minutes earlier at our accommodation for the return transfer to the airport. Pietro was extremely courteous and offered to take our cases to the car.
The vehicle was a new, spotless and very comfortable Mercedes Vito.
We were travelling as a family and needed the extra space so this car was ideal. 
Very good value for money, we will definitely book again when in Rome."
41,Everything was perfect. I will use it in the future again.
42,Excellent service and punctual. Good value for money. Highly recommended.
43,"Excellent service, excellent driver."
44,"Very reliable company, prompt reply to booking and easy to contact, even rang to let me know where driver was and what time they were expected, definitely use again."
45,Cheap and easy transfer great drivers both going and return will use again
46,Excellent service will book again
47,very efficient and a clear telephone number to contact if needed
48,"Great service, arrived before the pick up time, friendly staff & smart, clean vehicles."
49,No complaints.
50,Excellent service and great value. I used Airport Taxi Transfers for a business trip in Germany. The driver was very smart and the vehicle was of a high standard. I will be using this service for future trips and recommending it to my colleagues.
51,"Easy booking process. Driver was waiting for us at the airport. Driver helped with our luggage, opened the door for us to get in, while he put the luggage in the vehicle. Driver was friendly, spoke good English and was very informative re the weather and different parts of the Island. Highly recommended. Would definitely use this company again."
52,"Driver showed up early, helped us with our bags and got us to the airport early. Nice car and great customer service. Would highly recommend."
53,As always extremely consistent service from Airports Taxi Transfer! Thank you for always making our trip easier.
54,"Driver was waiting upon arrival. Clean and comfortable car. Friendly, polite and professional driver. Very efficient service. Very reasonable price. I will use this service again and will recommend to others. Excellent service, very happy."
55,"Our flight from N.Y. to Paris was 2.5 hours late, and we had a further delay on the ground at CDG to give the paramedics time to remove a passenger who became ill during the flight. However, our driver was waiting for us, exactly where I'd been told he would be. He was polite, personable and most importantly, calmly and expertly navigated the horrible traffic into and through the city. Our return trip to CDG from our hotel was also great--the driver was prompt and polite. I will definitely use this service again."
56,"Great service, easy to book. Very communicative when they had difficulty in identifying the villa address prior to pick up.
Punctual, professional"
57,All on time easy transfer
58,The service was excellent as the driver was on time n they WhatsApp me n when i call them they answered me immediately. I am very satisfied with the drivers helpfulness n kindness
59,Very polite
60,Satisfied with car and the very helpful driver. He is very kind too.
61,Reliable friendly service
62,"Return transfer to/from Catania Airport - Couldn't fault the service, the driver was at arrivals when we got there, transfered to our hotel in a Mercedes people carrier. The same driver arrived on time to take us on our return journey to the airport and dropped us right outside the door."
63,Good reliable and efficient service. Excellent drivers and a smooth operation - we use them all the time to go to and from Antequera to the airport
64,"Smart, on-time and impressive vehicles....
Would recommend immediately....great price too!"
65,Easy to use service - driver very friendly. The only thing I overlooked was the charge for the toll road you will need to have some money on you for this! Would definitely use again
66,"They message you with your drivers name and number the day before. 
I was in contact with the driver Maurice to advise was stuck on the plane due to doors being stuck. He waited and even had a drink waiting for me in the car. Very knowledgeable and obliging, the service was impeccable. Highly recommend them."
67,Élégance et confort
68,The drivers were very friendly and helpful. I will strongly recommend to friends.
69,Great service. Thanks
70,"Our driver was waiting for us in the terminal with a name board, very friendly. The collection driver on the way home arrived in good time and was also friendly, ATT are very good value for money and a good company to deal with. The vehicles are clean and comfortable I will use them again and recommend them."
71,"Easy booking, efficient and timely service & friendly driver... highly recommend"
72,"Brilliant service very efficient, no waiting around for anyone will definitely use again"
73,There waiting on arrival and prompt for departure. Polite drivers and clean vehicles.
74,Very good service boh ways from airport to hotel. Will use this company again next time. Recommended.
75,Car was clean and modern. Driver was friendly and on time. Excellent service
76,"Easy to book, emailed question a answered within a reasonable time. Perfect time keeper"
77,Great service will use again
78,"Very good helpful service 
Excellent & kind"
79,"Efficient - arrived promptly, delivered us to the door and collected us next day. I would use this service again."
80,"Very good service. Driver was very courteous, car was very clean and the drive both ways went very smoothly. Great door to door service, I will certainly use again."
81,Would 100% recommend and use again!
82,"Driver was waiting at the exit, helped us with the luggage and brought us safe to our destination. Only sad that our driver didn’t speak English to communicate..."
83,Excellent service couldn't fault
84,The driver was waiting for us (he had sent us a Whatsapp the day before with the details); he was very nice and speak our language. The car was a Škoda Superb clean and well maintained. Absolutely ok the service.
85,Great service - on time - lovely car and pleasant driver who was very helpful - would use again
86,"Are now my preferred provider to collect me from the airport, easy to book, there at the arrivals gate and no fuss and reasonably priced.

Would recommend"
87,no fuss and always reliable
88,On time great driver very helpful would highly recommend
89,Excellent service. Would definitely recommend and use again.
90,"Excellent booking, pickup, vehicle, service. Much cheaper than hotel transfers. Very good"
91,Friendly helpful drivers and service. Highly recommend.
92,"service was excellent driver at airport waiting for us when we arrived
on return driver arrived at hotel early which suited us as we were ready to go
if was traveling again would not hesitate in using this company"
93,"when we arrived at Malaga airport we could not find our taxi driver we walked round several times i tried to call airport taxis only to be told the number can not be recognised i am quite accustomed to the dialing code while in Spain we went back inside then closely inspected drivers that were still there the driver who was designated to us was not showing the paper with name on i had to raise the paper to inspect it , no one could have noticed it without trying this method not very good practise."
94,First class service. Very punctual and good driving.
95,Excellent service. Very safe and professional. Will definitely book again.
96,Arrived before arranged times on all of my bookings. Drivers very helpful and customer support 100%
97,Excellent service nice comfortable cars & very good driver. On time for our pick ups & great price.
98,"My Worst nightmare!
On15/01-2020 I booked   with ATT Airport Taxi transfers,to be transported from Plaza Capri in Santo Domingo to las Americas Airport  to catch my flight to Norway via Atalanta.
Airports Taxi Transfers confirmed Reservation as Pending, with ref  AF923372916.
The next day I sent a mail to enquire the status og my booking, but only received the standard
automated reply  that my reservation was pending.
I called the number on their web site, but all in vain. The lokal number was rejected! As advised in thier mail that ""If  your transfer is within 24 hours and you have not received a confirmation please call us on +44 203 529 6710 to check the status of your booking""
I  called the above UK number, was put on hold for a long time til I gave up.

I was so desperate & had no choice, but to cancel my reservation.
I could not believe the reply to my cancellation.
They had the audacity of saying I quote:
""If we can be of any further assistance for future transfers please don't hesitate to contact us""
Me, to use them in future! no no NOT if I am in a sane state of mind  .
Anu Frølandshagen- Norway"
99,"Rude dispatcher, late driver. The dispatcher called me and told me 'your flight was early and take a taxi if you don't want to wait!' and then without giving me the opportunity to respond, hung up in my face."
100,Excellent! Will definitely use again. First class service.
101,Plane arrived 3 hours late and my driver was there...1st class
102,Very very good service...
103,"Driver was on time, drove well, and got us from the port to airport efficiently and ahead of the expected time. I was completely satisfied with the service."
104,"very good service. Smooth booking, driver was very helpful and professional."
105,"Have used this company in Portugal, Mienorca and Lanzarote and would highly recommend them. Always on time and very friendly and helpful drivers"
106,Very confused as you state you have already had a review of the service l received. Could you please tell me made the review.
107,There were 12 of us travelling and the service was perfect.
108,Great service!
109,As a first time experience we couldn’t be any happier and have recommended to friends in Portugal
110,"ATT were exceptional! They were there to meet us at the Airport the driver was very smart and friendly, he even carried our bags up to the apartment, wonderful service. Return journey good, taxi on time. Again very nice friendly driver. The taxi/minibus were spotlessly clean, price reasonable, will definitely use again. Easy to deal with and to contact."
111,"Driver was there right on time, very polite and professional and the van was immaculate , highly recommend the service"
112,Excellent driver. Gave us a history of Rome between airport and hotel. Very nice man.
113,Reliable good value service. Will definitely use again.
114,Perfect all round
115,"I was very satisfied with the drivers and the vehicles. Also, with the accuracy of the pick up times. During the transfer back, I would prefer a somewhat slower driving style."
116,Great service! Would definitely recommend to anyone traveling from MUC to the city center.
117,Excellent Service! I will definitely use them again!
118,"Very pleased.
On time and very polite.🙂"
119,Excellent. Driver was professional. Water and charging device for my Iphone was appreciated.
120,Will always use ATT provided they remain competitive and punctual
121,"The driver was waiting on time.
Was very polite and kind.
The vehicle was great, specious.
The ride was smooth.
Shortly, AAA+"
122,Turned up on time very helpful would recommend
123,"On time in Arrivals Hall. Excellent service and driver very good. Great rates.
On return driver on time I believe it was Max the driver excellent lovely cars for both trips will use again on my return."
124,Driver arrived on time and sent a text when at meeting point. Very good service will definately use this company again.
125,Excellent service from booking procedure through to being picked up by the polite and professional driver. Will definitely use ATT again
126,"Great Service. Very prompt with email replies, I had to change the named contact from our group twice and they were very efficient with each change.
Very good service, would use again."
127,Fantastic easy to deal with on time no issues. Lovely vechiles
128,"Cost effective with good vehicles, friendly & helpful drivers.
Highly recommend."
129,Overall a very efficient service
130,This was our first time using the firm. The drivers were smart polite and very helpfully. Will be using them again! 5* service
131,"Easy to book , great price , driver waiting with a smile ,very pleasant trip to hotel quick journey ."
132,"Great service, taxi arrived early, friendly & helpful driver 😊"
133,Airports Taxi Transfers is a great service. The website was very easy to navigate and the service was outstanding. It was the most convenient and easy way for our party of 7 to go to our hotel in central Paris from Charles de Gaulle airport. I strongly recommend it!
134,"After getting to Faro, the driver was early, easily checked details and took us straight to Hotel in Lagos. He was helpful in getting the suitcases/bags out of the vehicle and was professionally pleasant.
Our return journey to Faro, driver again arrived early, which was helpful. We were not quite ready and he was patient and helpful. Again drove us directly to Airport in very good time that we were able to have a hot drink before departure. I would definitely use this Airport Taxi Transfer again as I found the whole process excellent and simple to use. MJ"
135,Very good communication and good drivers. On time and good knowledge of area. Will definitely use again.
136,"Great service for a fair price!! Not very usual any longer these days, unfortunately.
Great job. Well done. Please continue."
137,"The driver to pick us up at Athens airport was a little late blaming traffic and parking problems and had difficulty locating hotel in Athens due to many areas now pedestrianised, but got us there in the end.
The driver (Jennie) picked us up from hotel on time and got us to the airport in about an half hour despite the heavy traffic in Athens. We were dropped off close to our airline location.
Both drivers very knowledgeable about Athens and sights and were good careful drivers and I would recommend and use them again."
138,"We were worried that the pick ups would not be on time but there was no need to worry. Service was very good and bang on time! 
Thankyou will recommend."
139,Timely against the booking and reliable
140,All 3 transfers in both direction went really smothly. Drivers always early friendly helped with luggage and never expecting a tip
141,"Very good service, but the driver was angry about the luggage and he was on bad mood! It’s not our fault i have booked a car for two adults with two medium bags and two small bags"
142,"Highly recommended.
Perfect service both ways, thank you."
143,"Great service, very professional."
144,"Very happy overall, few errors on booking which I had missed but driver and company were very quick to respond and alter at short notice."
145,Very good service
146,Excellent service - professional & helpful driver who turned up in plenty of time & knew quick routes to skip the rush hour traffic. Definitely will use again.
147,Very prompt and reliable service. Quality vehicle and polite driver. Will use this company again.
148,Great service - no issues or concerns would use them again
149,"2nd Trip with this service. I couldn't recommend it more! They picked us up from our Hotel in Rome and drove us to our Hotel in Sorrento. There is no direct train from Rome to Sorrento. Mercedes as promised, great service AGAIN!! LOVE, LOVE, LOVE !!"
150,Very good efficient service.Drivers were helpful and professional.Overall an excellent service
151,Have used this company before and have always been satisfied with the very good service I have received. Will not hesitate to use them again.
152,would definitely use again excellent service driver very helpful and polite very smooth journey
153,will always use airport taxi transfers from faro. Never had any problems. Always on time. First class all round
154,Reliable. Efficient. They call you if you don't find you. 100% satisifed.
155,Outstanding service it made the transfer process very easy would recommend to any one
156,"Great service, will definitely use this company again!"
157,Was 35 minute late. I had to keep calling and then wait outside at 9pm at night. And at my destination was dropped halfway down the street with 3 suitcases and told it was only a few minutes walk cause it was a one way street and he couldn't be bothered going around the block. Shocking service. Will never use again.
158,"Car arrived on time very clean , driver very efficient"
159,We were met by English speaking driver. She was there waiting for me. She brought us to our place quickly. I highly recommend this airport taxi
160,"Very good service 
Would definitely use again."
161,Very good efficient service at a fair price
162,"Flight delayed by 30 minutes on arrival in Spain but driver was there at arrivals. On return to UK driver was prompt at pick up time. The service was first class, vehicles were clean. Thank you."
163,"Great start to finish, recommended. Have used before and will again"
164,Highly recommended. Excellent customer service throughout despite us making changes to our bookings. Great driver and very efficient.
165,"Very good value, punctual and quick"
166,"Extremely happy with the service provided, on time for both pick ups and courteous drivers"
167,"Our driver was the best!
Great service!"
168,"Service excellent prompt pick-ups.
Clean and tidy cars. Would definitely recommend and use again."
169,Excellent service. Punctual and professional. Would definitely recommend.
170,absolute robbing bastards. DO NOT BOOK WITH THEM!! scammers!!! hope they all get fucked over one day in life because it will be karma
171,Excellent service. On time and GREAT!
172,"Fantastic service lovely drivers and on time! 
Perfect"
173,"Prompt both times. Great vehicles, both really nice courteous and friendly drivers. Well priced. Would definitely recommend."
174,HAD A REALLY HELPFUL DRIVER - STIJEPO! THANK YOU SO MUCH! AM
175,"Easy to book, taxis on time and no issues. Maybe a bit expensive but didn't mind paying more for the service and the convenience"
176,"Very Poor service. Booked a taxi from Milan airport, the driver was not at the arrivals and i had to make several phone calls before he turned up 15 minutes later. I had paid for an upgraded limo but he turned up in a mini cab which was not at all comfortable. I had 2 bags and a coat which he did not offer to help me with and just rushed off when he eventually saw me. No water or anything in the cab despite it being quite hot and a 1 hour journey. Waste of time and money."
177,they were on time and very curteous
178,"The service was excellent, timing excellent and the drivers were very professional and friendly. The vehicle was perfect. Will use over and over again. Thank you for an excellent service."
179,Punctual pick ups and drivers attentive to elderly passengers with poor mobility and hearing difficulties. Thanks for attention on both recent and previous bookings.
180,Excellent vehicles and drivers. Very punctual and helpful.
181,"Although easy to book, and on time, the guy shouting at me on the phone when we couldn’t find the driver picking us up. Also the road rage incident on our return trip was not appreciated. I expect to feel safe and receive a professional service at all times."
182,"Very handy and quick to book, just the destination options arnt great"
183,"I booked a taxi for 5 people.
Our driver was waiting for us and he greeted us warmly with a big smile and helped us with our bags to the car. He was friendly without being intrusive and we enjoyed the journey to the hotel.
We will definitely use this service again and highly recommend this company."
184,Waited 20 mins at airport for collection could have got a bus or cab quicker. Had a 5 year old with us but still the driver was racing and weaving through traffic 👎
185,"A fantastic efficient company.
Thankyou ATC
I highly recommend them"
186,"Great service from a friendly driver despite it being 3am, arrived on time and got us to our destination smoothly, safely and ahead of schedule."
187,Excellent service -vehicle spotless. Driver very courteous and helpful. Only issue was the walk to the vehicle which was quite long and wouldn’t have been suitable for those less firm on their feet Still recommend them though
188,"After paying the quoted price they then requested another £120 or cancel the booking, i paid this and they then said they wanted another £20 to drop the group at two hotels half a mile apart.
Couldn't fault the drivers they were excellent but beware you are dealing with a booking agent not the taxi firm itself."
189,"Good service, delivered on their promise."
190,Have a discount of 20% is good for booking a return journey
191,We were left at the airport for over an hour with the promise that the taxi was coming. In the end two taxis turned up from another company and got us to the hotel over two hours later than scheduled. We were then contacted to be told we wouldn’t be getting collected to go back to the airport leaving us with the dilemma of arranging another transfer. Your company is absolutely useless and cannot be trusted to complete what should be a simple transfer that had been arranged in good time.
192,"All excellent but driver was late and I had to call him, but he was excellent especially with the cases."
193,"Very efficient service. 
Both drivers were on time and very helpful.
will definitely use Airport Transfer Services on my future visits to Barcelona."
194,"BY ACTUALLY PROVIDING THE SERVICE, WE WERE LEFT STRANDEDIN BENIDORM AND HAD TO CATCH 4 TAXIS DUE TO DRIVER NOT TURNING UP"
195,"Perfect, punctual, very helpful service.. l would recommend 100% TT.
Also a great price for the round trip from the airport to our destination, a fabulous house that was well hidden, way off the beaten track..."
196,Thank you for your service.
197,Amazing! Couldn't find the driver at the airport so rang up and they've told me where to meet up. Everything was well arranged. The taxi on way back arrived on time and dropped us off to the airport. Couldn't be happier with them. Great prices too! Thank you.
198,"Brilliant service, both drivers were on time and very pleasant. Given bottle of water for journey."
199,Excellent professional service and so reasonable
200,Very prompt with their pickups and polite staff.
201,"DO NOT USE THIS COMPANY IF YOU ARE GOING TO PARIS! The driver was 50 minutes late, made excuse Paris had strikes. 

The driver did not know where Disneyland Paris was? We googled the address for him, he then held my phone while driving, he cut up for 4 people and almost killed my entire family. He also answer a call to some woman while driving and looking at the other phone then later what looked like a gambling site putting bets on. All while driving and swerving. I even had to grab his steering wheel at one point as we was in the hard shoulder. 

The driver was shouting and scared my children age 4 and 5. 

This has to be the most dangerous taxi i have used in 35 years!"
202,"Great airport transfer
Waiting at arrivals straight to car
Return pick up at hotel on time and easy drop off 
Highly recommend"
203,"Servizio eccellente, puntualità e disponibilità per un servizio che mi sento di consigliare, ad un prezzo molto competitivo."
204,"Punctual, polite and friendly journey ready and waiting for us. Would definitely recommend! Not too expensive either."
205,"Post cruise the Driver waiting at port for airport transfer with our name card, pleasant and polite. Very happy with service"
206,Very efficient and punctual. The driver was very friendly and even offered us water to take to the airport. 5 stars!
207,Great taxi service to use when travelling.
208,"Excellent service, even though we did have a couple of problem finding the drivers the phone numbers sent with the instructions made the resolution of the problem very simple."
209,"Very good service, drivers very courteous, punctual, couldn't fault service.Will definitely use this company again."
210,always reliable drivers very helpful and pleasant
211,"It was a very easy process booking the taxi transfer, it’s a great service and was much cheaper then other transfer companies. I will definitely be booking with them again!"
212,Highly recommended
213,a very efficient service with polite and friendly drivers.good vehicles and a good price. will use again.
214,Very efficient and professional service! Definitely recommend!!
215,Great service for a very reasonable price will use again thanks 👍
216,Great services
217,The transfer did not arrive. I had to wait 1 hour and 15 minutes for a driver to collect us from the airport. Once the taxi came we had to find them they did not come to the designated area of collection. I had paid an additional charge for a car seat and one did not arrive with the driver making it unsafe for my 6 month old baby. I would not recommend this company. Avoid at all costs.
218,Would definitely use again. Driver was pleasant and professional and got us from A to B with no issues.
219,Excellent!!!
220,Very well run. Excellent friendly drivers.
221,Anyone wishing to use this service will not be dissatisfied with either the standards of both the vehicles or the professional standards of the drivers excellent
222,Brilliant. On time. Driver looked very smart. Comfortable drive. will definitely use again.
223,"Outbound journey was great, but the return was a bit fearful! Driver was making phone calls, driving one handed whilst on the phone, and not fully concentrating on driving - this is illegal in the UK. He had the music loud and I had to ask him to turn it down. In my opinion his driving was dangerous, very close to the cars in front, maybe thats normal in france."
224,Excellent highly recommend
225,Excellent service. Only problem we had was when we arrived in Tenerife the driver wasn’t there and we thought this was due to flight being delayed and when we tried calling telephone number given this did not work. However driver did turn up and all was good.
226,"What a great service, the driver Derya was a lovely guy, very friendly and helpful. The car was clean and comfortable. On both arrival and departure Derya was on time and waiting for us and helped with our bags. Would highly recommend and definitely use them again."
227,"Excellent service. Driver very nice and friendly, very clean car. Would use again."
228,"I’ve used Airport Taxi Transfers for over 6 years now, although it’s only once a year, they have never let me down and all the cars are modern & clean and the drivers have been excellent. And I’ll be booking with them again next year."
229,Always use ATT for my travels. Reliable and trustworthy every time.
230,"Excellent service.
Reliable which is the most important aspect when booking taxis! Thank you."
231,"Great service with friendly and helpful drivers. 
Punctual and professional. 
Recommend highly."
232,"Plane was late but driver was waiting. Modern clean vehicle, excellent."
233,"Excellent, called to confirm reservation, driver on time and waiting with clear sign, top of the line black car, very clean and driver well dressed. Will use again"
234,Very good reliable service.....thank you
235,A great service from booking to handling
236,Very professional and clean
237,Quick and simple to book. Driver was waiting at the airport for us. Very friendly and nice driver . Will be using again
238,The driver is always waiting for us no matter how delayed we are whenever we have used this service. Very courteous and friendly drivers.
239,"We booked last minute online & the communication was excellent!
Our driver was waiting even though we were delayed, the taxi was clean and comfortable and he stopped & got us fresh water.
It was definitely worth the money & better than using the travel agent transfer."
240,"Very helpful service
Bit of a mix up at the beginning but customer service very responsive and helpful."
241,"Absolutely outstanding service! Both Drivers were wonderful and helpful and I would not hesitate to recommend to anyone considering using this service.

Both our cars were luxurious and extremely comfortable. I will definitely use again so thank you."
242,Malpensa. Excellent service.
243,Very punctual and friendly drivers.
244,"The whole process was easy, the drivers were fantastic. We had a little history of the area off one of them which was great! Would highly recommend - the cars were smart and very clean."
245,"Safe and Reliable Driver.
Thank you."
246,"Easy service to use, quick and simple end to end. Thanks. Again"
247,"I had to change my flight details and transfer to another airport (from Murcia to Alicante). I informed the taxi service and not only did they comply, they didn’t add on any extra charges and they handled it in a true professional manner.... I was well impressed.... thank you"
248,Everything went well couldn't of been any better. Will be booking return trip.
249,"Everything is perfect 
The driver is very polite and helped us with luggage 
He came on time 
Customer service called me and confirmed reservations 
They even send me driver contact number 
Thanks alot"
250,"Very good driver, very good car, turned up on time/ early both way clear For use to see when coming through the airport - little pricey apart from that cannot fault the service"
251,"Driver was professional, vehicle was clean inside and out (including windows); I would use this service again; and, I have already recommended the service to others. Great experience."
252,Excellent driver . Excellent service. Would definitely book again.
253,"An excellent service, reliable, punctual and first class vehicles. Communication between the client and company is first rate and available whatever time of day if any problem occurs."
254,"Easy to book on line, driver was on time and very professional. Excellent service will definitely use again and recommend to others."
255,"The booking process was easy, the driver came on time, and he delivered me to the airport on time. I would use the service again."
256,Very good and on time
257,"I was very pleased with the service I received, excellent and professional service. Thanks to both of drivers. Thy were on time and very professional."
258,Very efficient and polite. Apart from a slight disconnect at Geneva regarding meeting point we felt the service was top class and cheaper than Uber! On the return trip the road near the hotel was closed so the driver came to find us and carried our bags to where he’d left the car. Would use again.
259,Fantastic service. Easy to book on line and regular contact before pick up. Most importantly the drivers were excellent and coped with all that the Paris strikes could through at them. Particular praise for Julien whose knowledge of routes got us to airport on time.
260,Great service and would use again
261,"This is a great service, I will use Taxi service again.."
262,"If I could give ZERO Stars I would.
This company gave me a confirmed reservation with reservation number to take me and my family from Piazza Navona in Roma to FCO Airport.
The evening before the canceled the reservations.
Then they basically took an F-You attitude with me.
Well F-Them.
Use Uber, it's way more reliable.
This company should be ashamed of themselves.
Horrible customer service."
263,I booked this taxi service for a pickup from a cruise ending in Civitavecchia to Ciampino Airport. I was a bit nervous about being able to locate the driver in the port but everything went very smoothly. The taxi van had plenty of space and was comfortable and the driver was very pleasant and professional. The transfer takes about 90 minutes and the traffic was heavy but we were at the airport in plenty of time. I would not hesitate to recommend this service.
264,Great service both drivers were very friendly and on time
265,The service was perfect in every sense
266,Great service and very efficient. Ample room for luggage and the drivers were very pleasant. I will definitely use this service again.
267,"Driver was very professional and considerate. He made the effort of dropping us off at a location to prevent us from getting wet in the rain.
Will definitely recommend your services."
268,"Easy, professional and clean! Would definitely recommend!"
269,Good value and great service can’t fault
270,"The booking process was easy and I had not to pay before, I could pay the driver directly. The driver picked us up at the arriving hall with a big sign with my name and came with a big Mercedes Van, big enough for all luggage and comfortable. He drove safe and quick. Airports Taxi Transfers is cheap and good. Next time I will book again with this company."
271,Everything works As ordered and agreed. Recommend.
272,"Couldn't fault service, driver or standard of vehicle the driver was the most helpful taxi driver I have met courteous, friendly assisting me to my door with my bag and helping me as well as I'm disabled. Overall excellent would definitely use them again."
273,"Excellent service, punctual, easy to book and a great price
I highly recommend this service to anyone , we will not use anyone else again , they were brilliant A++++++"
274,"Interior of vehicles not particularly clean, hence the lower rating .but a very reliable service both to and from the airport. Considering the traffic in Rome, on both occasions the drivers were early and both were friendly and helpful making the the transfers a very stress free experience."
275,Very good!
276,"An easy booking process. Any changes to our booking were dealt with quickly and effectively. Our driver was excellent, arrived on time, friendly and gave us a good review of all the places we passed on the way."
277,Although my flight from UK was delayed by 2 hours the driver was waiting for me at designated place. Very good service
278,Overall service quality is very good
279,"I used round trip from Munich airport and hotel in the city.
The vehicle was clean and the driver was so kind.
I want to use this service again for next trip."
